Number of animals, Number of grasses, Average energy, Average children count, Average life span
20.0, 2.0, 95.0, 0.0, 0.0
20.0, 12.0, 70.0, 0.0, 0.0
20.0, 12.0, 70.0, 0.0, 0.0
20.0, 12.0, 70.0, 0.0, 0.0
20.0, 14.0, 65.0, 0.0, 0.0
20.0, 16.0, 60.0, 0.0, 0.0
20.0, 16.0, 60.0, 0.0, 0.0
20.0, 22.0, 45.0, 0.0, 0.0
20.0, 22.0, 45.0, 0.0, 0.0
20.0, 24.0, 40.0, 0.0, 0.0
20.0, 24.0, 40.0, 0.0, 0.0
20.0, 24.0, 40.0, 0.0, 0.0
20.0, 30.0, 25.0, 0.0, 0.0
20.0, 30.0, 25.0, 0.0, 0.0
20.0, 32.0, 20.0, 0.0, 0.0
20.0, 32.0, 20.0, 0.0, 0.0
20.0, 36.0, 10.0, 0.0, 0.0
20.0, 36.0, 10.0, 0.0, 0.0
20.0, 36.0, 10.0, 0.0, 0.0
1.0, 40.0, 100.0, 0.0, 20.0
1.0, 40.0, 100.0, 0.0, 20.0
1.0, 44.0, 90.0, 0.0, 20.0
1.0, 44.0, 90.0, 0.0, 20.0
1.0, 46.0, 85.0, 0.0, 20.0
1.0, 50.0, 75.0, 0.0, 20.0
1.0, 50.0, 75.0, 0.0, 20.0
1.0, 54.0, 65.0, 0.0, 20.0
1.0, 54.0, 65.0, 0.0, 20.0
1.0, 56.0, 60.0, 0.0, 20.0
1.0, 58.0, 55.0, 0.0, 20.0
1.0, 60.0, 50.0, 0.0, 20.0
1.0, 62.0, 45.0, 0.0, 20.0
1.0, 66.0, 35.0, 0.0, 20.0
1.0, 66.0, 35.0, 0.0, 20.0
1.0, 68.0, 30.0, 0.0, 20.0
1.0, 70.0, 25.0, 0.0, 20.0
1.0, 72.0, 20.0, 0.0, 20.0
1.0, 74.0, 15.0, 0.0, 20.0
1.0, 76.0, 10.0, 0.0, 20.0
1.0, 78.0, 5.0, 0.0, 20.0
200.5, 830.0, 975.0, 0.0, 210.0